,Survived,Pclass,Age,SibSp,Parch,Fare,male,Q,S,Capt,Col,Countess,Don,Dr,Major,Master,Miss,Mlle,Mme,Mr,Ms,Rev
0,0,3,22.0,1,0,7.25,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1,1,38.0,1,0,71.2833,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,1,3,26.0,0,0,7.925,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
3,1,1,35.0,1,0,53.1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
4,0,3,35.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
5,0,3,25.0,0,0,8.4583,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6,0,1,54.0,0,0,51.8625,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
7,0,3,2.0,3,1,21.075,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
8,1,3,27.0,0,2,11.1333,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
9,1,2,14.0,1,0,30.0708,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10,1,3,4.0,1,1,16.7,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
11,1,1,58.0,0,0,26.55,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
12,0,3,20.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
13,0,3,39.0,1,5,31.275,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
14,0,3,14.0,0,0,7.8542,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
15,1,2,55.0,0,0,16.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
16,0,3,2.0,4,1,29.125,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
17,1,2,3.0,0,0,13.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
18,0,3,31.0,1,0,18.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
19,1,3,19.0,0,0,7.225,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
20,0,2,35.0,0,0,26.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
21,1,2,34.0,0,0,13.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
22,1,3,15.0,0,0,8.0292,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
23,1,1,28.0,0,0,35.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
24,0,3,8.0,3,1,21.075,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
25,1,3,38.0,1,5,31.3875,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
26,0,3,25.0,0,0,7.225,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
27,0,1,19.0,3,2,263.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
28,1,3,19.0,0,0,7.8792,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
29,0,3,25.0,0,0,7.8958,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
30,0,1,40.0,0,0,27.7208,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
31,1,1,35.0,1,0,146.5208,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
32,1,3,19.0,0,0,7.75,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
33,0,2,66.0,0,0,10.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
34,0,1,28.0,1,0,82.1708,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
35,0,1,42.0,1,0,52.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
36,1,3,25.0,0,0,7.2292,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
37,0,3,21.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
38,0,3,18.0,2,0,18.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
39,1,3,14.0,1,0,11.2417,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
40,0,3,40.0,1,0,9.475,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
41,0,2,27.0,1,0,21.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
42,0,3,25.0,0,0,7.8958,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
43,1,2,3.0,1,2,41.5792,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
44,1,3,19.0,0,0,7.8792,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
45,0,3,25.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
46,0,3,25.0,1,0,15.5,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
47,1,3,19.0,0,0,7.75,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
48,0,3,25.0,2,0,21.6792,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
